#VIN Code	Description
A	XX-94 Justy 3-Door
B	80-84 2nd gen. Leone/DL/GL sedan
C	1st gen. Sedan (Impreza/Legacy); 85-94 Leone/DL/GL/Loyale sedan
D	XX-94 Justy 5-Door; 2nd gen. Sedan (Impreza/Legacy)
E	3rd gen. Sedan (Impreza/Legacy)
F	1st gen. Wagon (raised-roof Legacy/Impreza/Forester); 80-89 2nd gen. Leone/DL/GL hatchback
G	2nd gen. Wagon (raised-roof Legacy/Outback/Impreza/Forester); 85-94 3rd gen. Leone/DL/GL/Loyale hatchback
H	3rd. gen Legacy/Outback Wagon/Impreza Hatch
J	1st gen. non-raised-roof Legacy Wagon
K	2nd gen. non-raised-roof Legacy Wagon
L	4th gen. Legacy Sedan
M	1st gen. Impreza Coupe; 80-84 2nd gen. Leone/DL/GL wagon; 5th gen. Legacy Sedan, 1st gen Ascent
M	Levorg Wagon
N	85-94 3rd. gen Leone/DL/GL/GL-10/Loyale wagon
P	4th gen. Legacy/Outback Wagon
R	Impreza Hatch Widebody
S	6th Gen. Outback Wagon
T	Baja; 80-84 2nd gen. Leone/DL/GL Brat
U	85-87 2nd gen. Leone/DL/GL Brat
V	Impreza WRX Sedan Widebody
W	80-84 2nd gen. Leone/DL/GL coupe
X	XT/SVX Coupe; Tribeca