#VIN code	Description
A	Jeep Renegade FWD ('15-'20)
A	Volkswagen Routan ('12-'14)
B	Jeep Renegade AWD ('15-'20)
C	Dodge Journey FWD, ('12-'20)
C	Jeep Compass (MK) FWD ('12-'17)
C	Jeep Compass (MP) FWD ('17-'22)
C	Jeep Renegade FWD ('21-'22)
C	Ram 3500 series chassis cab, 2wd, Single Rear Wheels, Sub-10,000 lb. GVWR ('16-)
D	Ram 3500 series chassis cab, 4wd, Single Rear Wheels, Sub-10,000 lb. GVWR ('16-)
D	Dodge Journey AWD, ('12-'19)
D	Jeep Compass (MK) AWD ('12-'17)
D	Jeep Compass (MP) AWD ('17-)
D	Jeep Renegade AWD ('21-'23)
E	Jeep Grand Cherokee (WK2) 2wd ('12-'21), Jeep Grand Cherokee WK 2wd ('22)
E	Ram pickup 1500 series, 2wd, Single Rear Wheels ('19-)
F	Dodge Hornet AWD ('23-)
F	Jeep Grand Cherokee (WK2) 4wd ('12-'21), Jeep Grand Cherokee WK 4wd ('22)
F	Ram pickup 1500 series, 4wd, Single Rear Wheels ('19-)
F	Ram Promaster City ('15-'22)
G	Dodge Grand Caravan ('12-'20), Ram C/V ('12-'15)
G	Jeep Grand Cherokee (WL) 2wd ('22-)
H	Jeep Grand Cherokee (WL) 4wd ('22-)
H	Dodge Durango 2wd ('12-)
J	Dodge Durango AWD ('12-)
J	Jeep Grand Cherokee L (WL) 2wd ('21-)
K	Jeep Grand Cherokee L (WL) 4wd ('21-)
K	Ram 4500 series chassis cab, 2wd, Dual Rear Wheels ('12-)
L	Ram 4500 series chassis cab, 4wd, Dual Rear Wheels ('12-)
L	Jeep Liberty (KK) 2wd ('12)
L	Jeep Cherokee (KL) 2wd ('14-'22)
M	Jeep Liberty (KK) 4wd ('12)
M	Jeep Cherokee (KL) 4wd ('14-'23)
M	Ram 5500 series chassis cab, 2wd, Dual Rear Wheels ('12-)
N	Ram 5500 series chassis cab, 4wd, Dual Rear Wheels ('12-)
N	Jeep Wagoneer S EV (KM49) 4wd ('24-)
P	Jeep Patriot FWD ('12-'17)
P	Ram pickup 3500 series, 2wd, Dual Rear Wheels ('12-)
R	Jeep Patriot AWD ('12-'17)
R	Jeep Wagoneer L/Grand Wagoneer L (WS) 2wd ('23-)
R	Ram pickup 3500 series, 4wd, Dual Rear Wheels ('12-)
S	Jeep Wagoneer L/Grand Wagoneer L (WS) 4wd ('23-)
S	Ram 3500 series chassis cab, 2wd, Dual Rear Wheels ('12-)
T	Ram 3500 series chassis cab, 4wd, Dual Rear Wheels ('12-)
T	Jeep Gladiator (JT) 4wd ('20-)
U	Jeep Wagoneer/Grand Wagoneer (WS) 2wd ('22-)
V	Jeep Wagoneer/Grand Wagoneer (WS) 4wd ('22-)
V	Ram ProMaster ('14-)
W	Ram ProMaster EV ('24-)
W	Jeep Wrangler (JK) 4wd ('12-'17), Jeep Wrangler JK 4wd ('18)
X	Jeep Wrangler (JL) 4wd ('18-)
Y	Jeep Grand Cherokee (WL) 4xe plug-in hybrid 4wd ('22-)
1	Chrysler Town & Country ('12-'16)
1	Chrysler Pacifica FWD ('17-), Chrysler Voyager ('20-), Chrysler Grand Caravan (Canada) ('21-)
2	Ram pickup 3500 series, 2wd, Single Rear Wheels ('12-)
3	Ram pickup 3500 series, 4wd, Single Rear Wheels ('12-)
3	Chrysler Pacifica AWD ('20-)
4	Ram pickup 2500 series, 2wd, Single Rear Wheels ('12-)
5	Ram pickup 2500 series, 4wd, Single Rear Wheels ('12-)
6	Ram pickup 1500 series, 2wd, Single Rear Wheels ('12-'18)
6	Ram pickup 1500 series Classic, 2wd, Single Rear Wheels ('19-'24)
7	Ram pickup 1500 series, 4wd, Single Rear Wheels ('12-'18)
7	Ram pickup 1500 series Classic, 4wd, Single Rear Wheels ('19-'24)
8	Ram 3500 series chassis cab, 2wd, Single Rear Wheels ('12-)
9	Ram 3500 series chassis cab, 4wd, Single Rear Wheels ('12-)