#VIN Code	Plant	Transmission
1	SIA	FWD 5MT
3	SIA	Full-time AWD 6MT/AT
4	SIA	Full-time AWD 5AT
5	SIA	Sport Shift Automatic
6	SIA	Full-time AWD 5MT
7	SIA	Full-time AWD 4EAT
8	SIA	Full-time AWD 4EAT (Postal RHD)
9	SIA	FWD 4EAT
A	FHI	FWD 4MT
B	FHI	FWD 5MT
C	FHI	FWD 3AT/ECVT
D	FHI	On-demand AWD 5MT
E	FHI	4spd 4wd Dual Range MT 81-84, 85-89 Hatchback, 85-89 Brat. 5spd 4wd dual range MT 85-89
F	FHI	On-demand AWD 3AT
G	FHI	Full-time AWD 6MT. Full-time AWD CVT.
H	FHI	Full-time AWD 4EAT
K	FHI	FWD 4EAT
L	FHI	Full-time AWD 6MT
P	FHI	Full-time AWD 4EAT (Postal RHD)